Model,Dataset,Image Size,Batch Size,Test Loss,Test Accuracy
EfficientNetB3,split_train_test_dataset_campuran,300,32,2.5927417278289795,0.49065420031547546
EfficientNetB3,split_train_test_dataset_campuran_balanced_test,300,32,0.8124818205833435,0.6848484873771667
EfficientNetB3,segmented_dataset,300,32,0.9018346071243286,0.5811764597892761
EfficientNetB7,split_train_test_dataset_campuran,600,8,2.9222352504730225,0.5815420746803284
EfficientNetB7,split_train_test_dataset_campuran_balanced_test,600,8,0.9596806168556213,0.6363636255264282
EfficientNetB7,segmented_dataset,600,8,0.5796622633934021,0.8180392384529114
EfficientNetB7_40_percent_freeze,split_train_test_dataset_campuran,600,16,3.10861873626709,0.5376168489456177
EfficientNetB7_50_percent_freeze,split_train_test_dataset_campuran,600,16,3.588911533355713,0.5266355276107788
EfficientNetB7_40_percent_freeze,split_train_test_dataset_campuran_balanced_test,600,16,2.2589712142944336,0.589090883731842
EfficientNetB7_50_percent_freeze,split_train_test_dataset_campuran_balanced_test,600,16,1.9834340810775757,0.7236363887786865
EfficientNetB7_40_percent_freeze,segmented_dataset,600,16,1.0004726648330688,0.8023529648780823
EfficientNetB7_50_percent_freeze,segmented_dataset,600,16,0.7226263880729675,0.8674509525299072
EfficientNetB7_40_percent_freeze,split_train_test_dataset_campuran,600,16,0.9628679156303406,0.7752941250801086
EfficientNetB7_50_percent_freeze,split_train_test_dataset_campuran,600,16,0.7396262288093567,0.8780392408370972
EfficientNetB0_kFold_224,split_train_test_dataset_campuran,224,32,0.6181216835975647,0.8764705657958984
EfficientNetB0_kFold_300,split_train_test_dataset_campuran,300,32,1.73602294921875,0.836078405380249
EfficientNetB0_kFold_224,split_train_test_dataset_campuran_balanced_test,224,32,1.5931870937347412,0.7200000286102295
EfficientNetB0_kFold_300,split_train_test_dataset_campuran_balanced_test,300,32,4.948847770690918,0.607272744178772
EfficientNetB0_kFold_224,segmented_dataset,224,32,0.9105352759361267,0.8149019479751587
EfficientNetB0_kFold_300,segmented_dataset,300,32,1.743781566619873,0.8600000143051147
